Metodo,Tamanho_Tabela,Tamanho_Dados,Colisoes,Colisoes_Lista,Tempo_Insercao_ms,Tempo_Busca_ns,Comparacoes
Resto,1000,10000,9001,40855,1,2900,5
Multiplicacao,1000,10000,9000,41272,3,5499,6
Dobramento,1000,10000,9000,40932,2,2700,5
Resto,1000,100000,99000,4899688,320,19660,51
Multiplicacao,1000,100000,99000,4902218,339,16580,50
Dobramento,1000,100000,99000,4901274,326,16160,51
Resto,1000,1000000,999000,498970870,24568,17080,505
Multiplicacao,1000,1000000,999000,499005460,26659,14379,493
Dobramento,1000,1000000,999000,498996634,24929,108699,507
Resto,10000,10000,3646,1220,2,899,1
Multiplicacao,10000,10000,3682,1394,0,500,1
Dobramento,10000,10000,3618,1247,1,559,1
Resto,10000,100000,90000,409376,43,2920,6
Multiplicacao,10000,100000,90000,409872,33,2959,4
Dobramento,10000,100000,90001,410077,31,1560,4
Resto,10000,1000000,990000,48994396,2828,12180,45
Multiplicacao,10000,1000000,990000,49012377,3637,15119,48
Dobramento,10000,1000000,990000,49015598,3161,16840,51
Resto,100000,10000,494,14,0,260,1
Multiplicacao,100000,10000,501,16,0,279,1
Dobramento,100000,10000,513,20,1,420,1
Resto,100000,100000,36728,13107,8,960,1
Multiplicacao,100000,100000,36845,13364,55,680,1
Dobramento,100000,100000,38942,16343,7,1080,1
Resto,100000,1000000,900007,4100106,346,1700,4
Multiplicacao,100000,1000000,900005,4104374,488,1859,5
Dobramento,100000,1000000,901771,4626497,524,2520,6
